type,name,size,i,time,verification
sorting,insertion,1024,5,0.036128,1
sorting,insertion,1024,6,0.030414,1
sorting,insertion,1024,7,0.029891,1
sorting,insertion,1024,8,0.028520,1
sorting,insertion,1024,9,0.000180,1
sorting,insertion,1024,10,0.000181,1
sorting,insertion,1024,11,0.000179,1
sorting,insertion,2048,0,0.153180,1
sorting,insertion,2048,1,0.153260,1
sorting,insertion,2048,2,0.152967,1
sorting,insertion,2048,3,0.150148,1
sorting,insertion,2048,4,0.150360,1
sorting,insertion,2048,5,0.148096,1
sorting,insertion,2048,6,0.138924,1
sorting,insertion,2048,7,0.137426,1
sorting,insertion,2048,8,0.136701,1
sorting,insertion,2048,9,0.000350,1
sorting,insertion,2048,10,0.000349,1
sorting,insertion,2048,11,0.000351,1
sorting,insertion,4096,0,0.607714,1
sorting,insertion,4096,1,0.611043,1
sorting,insertion,4096,2,0.615600,1
sorting,insertion,4096,3,0.605151,1
sorting,insertion,4096,4,0.598497,1
sorting,insertion,4096,5,0.595135,1
sorting,insertion,4096,6,0.565695,1
sorting,insertion,4096,7,0.569838,1
sorting,insertion,4096,8,0.569670,1
sorting,insertion,4096,9,0.306147,1
sorting,insertion,4096,10,0.302620,1
sorting,insertion,4096,11,0.295948,1
sorting,insertion,8192,0,2.433967,1
sorting,insertion,8192,1,2.408456,1
sorting,insertion,8192,2,2.457998,1
sorting,insertion,8192,3,2.386501,1
sorting,insertion,8192,4,2.424053,1
sorting,insertion,8192,5,2.388232,1
sorting,insertion,8192,6,2.351046,1
sorting,insertion,8192,7,2.334013,1
sorting,insertion,8192,8,2.330188,1
sorting,insertion,8192,9,1.831367,1
sorting,insertion,8192,10,1.798107,1
sorting,insertion,8192,11,1.798024,1
sorting,insertion,16384,0,9.729088,1
sorting,insertion,16384,1,9.670414,1
sorting,insertion,16384,2,9.716312,1
sorting,insertion,16384,3,9.610377,1
sorting,insertion,16384,4,9.694385,1
sorting,insertion,16384,5,9.553951,1
sorting,insertion,16384,6,9.588293,1
sorting,insertion,16384,7,9.574621,1
sorting,insertion,16384,8,9.536439,1
sorting,insertion,16384,9,8.409642,1
sorting,insertion,16384,10,8.318097,1
sorting,insertion,16384,11,8.363418,1
